titulo,url,origem
"The Art of Exploratory Data Analysis (EDA) - Part I. Nisha Chauhan","https://archive.is/3gM8m","Aula 01"
"The Art of Exploratory Data Analysis (EDA) - Part I. Nisha Chauhan","https://medium.com/swlh/the-art-of-exploratory-data-analysis-eda-94a24320d3bd","Aula 01"
"The Art of Exploratory Data Analysis (EDA) - Part II. Nisha Chauhan","https://archive.is/yeCn2","Aula 01"
"The Art of Exploratory Data Analysis (EDA) - Part II. Nisha Chauhan","https://chauhan-nisha.medium.com/the-art-of-exploratory-data-analysis-eda-5c489fa96db2","Aula 01"
"O ciclo de análise de dados: um roteiro para resolver problemas. Fernando da Silva","https://archive.is/3M2t4","Aula 01"
"O ciclo de análise de dados: um roteiro para resolver problemas. Fernando da Silva","https://analisemacro.com.br/econometria-e-machine-learning/o-ciclo-de-analise-de-dados-um-roteiro-para-resolver-problemas/","Aula 01"
"Too much outside the box - Outliers and Boxplots. Paul Julian II","https://archive.is/GQZpZ","Aula 01"
"Too much outside the box - Outliers and Boxplots. Paul Julian II","https://swampthingecology.org/blog/too-much-outside-the-box-outliers-and-boxplots/","Aula 01"
"Visualizing samples with box plots. Martin Krzywinski, Naomi Altman","https://archive.is/e8kZf","Aula 01"
"Visualizing samples with box plots. Martin Krzywinski, Naomi Altman","https://www.nature.com/articles/nmeth.2813","Aula 01"
"Principal Component Analysis (PCA) Explained Visually with Zero Math. Casey Cheng","https://archive.is/7dQ3f","Aula 01"
"Principal Component Analysis (PCA) Explained Visually with Zero Math. Casey Cheng","https://towardsdatascience.com/principal-component-analysis-pca-explained-visually-with-zero-math-1cbf392b9e7d","Aula 01"
"Handling Multi-Collinearity in ML Models. Vishwa Pardeshi","https://archive.is/tCp14","Aula 01"
"Handling Multi-Collinearity in ML Models. Vishwa Pardeshi","https://towardsdatascience.com/handling-multi-collinearity-6579eb99fd81","Aula 01"
"Step-by-Step Exploratory Data Analysis (EDA) using Python. Malamahadevan Mahadevan","https://archive.is/KZJVE","Aula 01"
"Step-by-Step Exploratory Data Analysis (EDA) using Python. Malamahadevan Mahadevan","https://www.analyticsvidhya.com/blog/2022/07/step-by-step-exploratory-data-analysis-eda-using-python/","Aula 01"
"EDA | Exploratory Data Analysis in Python. Geeks for Geeks","https://archive.is/MgEnh","Aula 01"
"EDA | Exploratory Data Analysis in Python. Geeks for Geeks","https://www.geeksforgeeks.org/exploratory-data-analysis-in-python/","Aula 01"
"Explorando Padrões nos Dados com a Análise de Clusters. Gabriela R. Andrade","https://medium.com/@data-gem/explorando-padroes-nos-dados-com-a-analise-de-clusters-28fa33e71112","Aula 02"
"Afinal, o que é um Cluster de Dados? Gabriela R. Andrade","https://medium.com/@data-gem/afinal-o-que-e-um-cluster-de-dados-e76c7272bfbc","Aula 02"
"Agrupamento K-Means e Agrupamento Hierárquico. Tussevana Miguel","https://aprenderdatascience.com/k-means-clustering-agrupamento-k-means/","Aula 02"
"Clusterização de Dados: entenda o Conceito e Formas de Uso. Gabriel Sacramento","https://archive.is/0RojR","Aula 02"
