Attrition,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Ticket_Medio,Transacoes_por_Mes,Gasto_Medio_Mensal,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Faixa_Idade,Renda_Class,Cluster
0,45,3,39,5,1,3,1.335,1144,42,1.625,0.061,27.23809523809524,1.0769230769230769,29.33333333333333,M,High School,Married,$60K - $80K,Blue,30-49,Alta,0
0,49,5,44,6,1,2,1.541,1291,33,3.714,0.105,39.121212121212125,0.75,29.34090909090909,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,0
0,51,3,36,4,1,0,2.594,1887,20,2.333,0.0,94.35,0.5555555555555556,52.41666666666666,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,0
0,40,4,34,3,4,1,1.405,1171,20,2.333,0.76,58.55,0.5882352941176471,34.44117647058823,F,High School,Unknown,Less than $40K,Blue,30-49,Baixa,1
0,40,3,21,5,1,0,2.175,816,28,2.5,0.0,29.142857142857142,1.3333333333333333,38.85714285714285,M,Uneducated,Married,$60K - $80K,Blue,30-49,Alta,0
0,44,2,36,3,1,2,1.376,1088,24,0.846,0.311,45.333333333333336,0.6666666666666666,30.22222222222222,M,Graduate,Married,$40K - $60K,Blue,30-49,Média,0
0,51,4,46,6,1,3,1.975,1330,31,0.722,0.066,42.903225806451616,0.6739130434782609,28.91304347826087,M,Unknown,Married,$120K +,Gold,50-69,Alta,0
0,32,0,27,2,2,2,2.204,1538,36,0.714,0.048,42.72222222222222,1.3333333333333333,56.96296296296296,M,High School,Unknown,$60K - $80K,Silver,30-49,Alta,0
0,37,3,36,5,2,0,3.355,1350,24,1.182,0.113,56.25,0.6666666666666666,37.5,M,Uneducated,Single,$60K - $80K,Blue,30-49,Alta,0
0,48,2,36,6,3,3,1.524,1441,32,0.882,0.144,45.03125,0.8888888888888888,40.02777777777778,M,Graduate,Single,$80K - $120K,Blue,30-49,Alta,0
0,42,5,31,5,3,2,0.831,1201,42,0.68,0.217,28.59523809523809,1.3548387096774193,38.74193548387097,M,Uneducated,Unknown,$120K +,Blue,30-49,Alta,0
0,65,1,54,6,2,3,1.433,1314,26,1.364,0.174,50.53846153846154,0.4814814814814814,24.33333333333333,M,Unknown,Married,$40K - $60K,Blue,50-69,Média,0
0,56,1,36,3,6,0,3.397,1539,17,3.25,0.0,90.52941176470588,0.4722222222222222,42.75,M,College,Single,$80K - $120K,Blue,50-69,Alta,0
0,35,3,30,5,1,3,1.163,1311,33,2.0,0.195,39.72727272727273,1.1,43.7,M,Graduate,Unknown,$60K - $80K,Blue,30-49,Alta,0
0,57,2,48,5,2,2,1.19,1570,29,0.611,0.279,54.13793103448276,0.6041666666666666,32.708333333333336,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,0
0,44,4,37,5,1,2,1.707,1348,27,1.7,0.23,49.92592592592592,0.7297297297297297,36.43243243243244,M,Unknown,Unknown,$80K - $120K,Blue,30-49,Alta,0
0,48,4,36,6,2,3,1.708,1671,27,0.929,0.078,61.888888888888886,0.75,46.41666666666666,M,Post-Graduate,Single,$80K - $120K,Blue,30-49,Alta,0
0,41,3,34,4,4,1,0.653,1028,21,1.625,0.095,48.95238095238095,0.6176470588235294,30.235294117647054,M,Unknown,Married,$80K - $120K,Blue,30-49,Alta,0
