Attrition,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Ticket_Medio,Transacoes_por_Mes,Gasto_Medio_Mensal,Rotativo_Ratio,Disponibilidade_Relativa,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Faixa_Idade,Renda_Class,Cluster,PC1,PC2
0,45,3,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,27.23809523809524,1.0769230769230769,29.33333333333333,0.0612244897959183,0.9387755102040816,M,High School,Married,$60K - $80K,Blue,30-49,Alta,0,-0.7339190198778323,-2.1288882057779306
0,49,5,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,39.121212121212125,0.75,29.34090909090909,0.1046511627906976,0.8953488372093024,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,0,-1.132417061979073,-1.1149967265030314
0,51,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,94.35,0.5555555555555556,52.41666666666666,0.0,1.0,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,0,-0.07377904217695562,-1.2089786906540552
0,40,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,58.55,0.5882352941176471,34.44117647058823,0.7597343797162692,0.2402656202837307,F,High School,Unknown,Less than $40K,Blue,30-49,Baixa,1,-3.3140058025247026,2.2968774514786396
0,40,3,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,29.142857142857142,1.3333333333333333,38.85714285714285,0.0,1.0,M,Uneducated,Married,$60K - $80K,Blue,30-49,Alta,0,-0.3675275522521792,-1.220344954943576
0,44,2,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,45.333333333333336,0.6666666666666666,30.22222222222222,0.3109725685785536,0.6890274314214464,M,Graduate,Married,$40K - $60K,Blue,30-49,Média,0,-2.0124575338448984,-0.7161917739413121
0,51,4,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,42.903225806451616,0.6739130434782609,28.91304347826087,0.0655927685710974,0.9344072314289026,M,Unknown,Married,$120K +,Gold,50-69,Alta,0,-0.15317702348159537,-3.2260351015510498
0,32,0,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,42.72222222222222,1.3333333333333333,56.96296296296296,0.0480038513118531,0.9519961486881467,M,High School,Unknown,$60K - $80K,Silver,30-49,Alta,0,1.0054482035705765,-2.0907798892705656
0,37,3,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,56.25,0.6666666666666666,37.5,0.1126073729420186,0.8873926270579814,M,Uneducated,Single,$60K - $80K,Blue,30-49,Alta,0,-0.30723448543014964,-1.1916765497512911
0,48,2,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,45.03125,0.8888888888888888,40.02777777777778,0.1438743994509265,0.8561256005490734,M,Graduate,Single,$80K - $120K,Blue,30-49,Alta,0,-1.344027010717429,-1.7343367044851403
0,42,5,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,28.59523809523809,1.3548387096774193,38.74193548387097,0.217397747480735,0.782602252519265,M,Uneducated,Unknown,$120K +,Blue,30-49,Alta,0,-1.4461294182743545,-1.0932221270608886
0,65,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,50.53846153846154,0.4814814814814814,24.33333333333333,0.1744914788345244,0.8255085211654756,M,Unknown,Married,$40K - $60K,Blue,50-69,Média,0,-2.2346513979914273,-2.070460588491463
0,56,1,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,90.52941176470588,0.4722222222222222,42.75,0.0,1.0,M,College,Single,$80K - $120K,Blue,50-69,Alta,0,0.19864033768833492,-1.4176926414674977
0,35,3,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,39.72727272727273,1.1,43.7,0.1949221949221949,0.8050778050778051,M,Graduate,Unknown,$60K - $80K,Blue,30-49,Alta,0,-1.1337009680618657,-0.6074442250403782
0,57,2,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,54.13793103448276,0.6041666666666666,32.708333333333336,0.2791461412151067,0.7208538587848933,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,0,-2.306198535946126,-1.483033850214695
0,44,4,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,49.92592592592592,0.7297297297297297,36.43243243243244,0.2295701464336325,0.7704298535663675,M,Unknown,Unknown,$80K - $120K,Blue,30-49,Alta,0,-1.6018022886750627,-0.779971470265273
0,48,4,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,61.888888888888886,0.75,46.41666666666666,0.0777818026146804,0.9222181973853196,M,Post-Graduate,Single,$80K - $120K,Blue,30-49,Alta,0,0.02935280703293709,-2.5513748196687924
0,41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,48.95238095238095,0.6176470588235294,30.235294117647054,0.095382342076099,0.904617657923901,M,Unknown,Married,$80K - $120K,Blue,30-49,Alta,0,-0.8677688587533953,-1.982787377629427
0,61,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,44.53333333333333,0.5357142857142857,23.857142857142858,0.7882868775446289,0.2117131224553711,M,High School,Married,$40K - $60K,Blue,50-69,Média,1,-4.174240631950338,1.3687219002616469
0,45,2,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,57.47619047619048,0.5675675675675675,32.62162162162162,0.0799585348997926,0.9200414651002072,F,Graduate,Married,Unknown,Blue,30-49,Baixa,0,-0.9618212806403835,-2.4475366843720785
0,47,1,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,43.629629629629626,0.6428571428571429,28.047619047619047,0.0858000858000858,0.9141999141999142,M,Doctorate,Divorced,$60K - $80K,Blue,30-49,Alta,0,-0.8160123614744237,-2.493617910090596
1,62,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,43.25,0.3265306122448979,14.122448979591836,0.0,1.0,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,0,-1.8260951103801073,-3.331916673221716
0,41,3,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,51.72222222222222,0.5454545454545454,28.21212121212121,0.1521252796420581,0.8478747203579419,M,High School,Married,$40K - $60K,Blue,30-49,Média,0,-1.3593597035497915,-1.27883548521763
0,47,4,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,48.95652173913044,0.6388888888888888,31.27777777777778,0.6260032102728732,0.3739967897271268,F,Unknown,Single,Less than $40K,Blue,30-49,Baixa,1,-3.2181918023174174,0.31352525306526186
0,54,2,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,52.85714285714285,0.5,26.428571428571427,0.0,1.0,M,Unknown,Married,$80K - $120K,Blue,50-69,Alta,0,-0.7925904291447055,-3.4095910938042815
0,41,3,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,47.77272727272727,0.7857142857142857,37.535714285714285,0.2148558187435633,0.7851441812564367,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,0,-1.6844131309751829,-1.223099796227455
0,59,1,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,52.04347826086956,0.5,26.02173913043478,0.0929383116883117,0.9070616883116884,M,High School,Unknown,$40K - $60K,Blue,50-69,Média,0,-1.2240068226726553,-2.5015280622489446
0,63,1,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,47.6,0.7142857142857143,34.0,0.0988742046010768,0.9011257953989232,M,Unknown,Married,$60K - $80K,Blue,50-69,Alta,0,-1.2779968716551222,-2.448918151624194
0,44,3,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,58.44444444444444,0.5294117647058824,30.94117647058824,0.0,1.0,F,Uneducated,Single,Unknown,Blue,30-49,Baixa,0,-0.6140513222880809,-2.810071107411358
0,47,4,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,27.5,0.9047619047619048,24.88095238095238,0.2846394984326019,0.7153605015673982,M,High School,Married,$40K - $60K,Blue,30-49,Média,0,-2.233203506585617,-0.9951771258070361
0,53,3,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,41.52,0.7575757575757576,31.454545454545453,0.6578278241917908,0.3421721758082092,M,Unknown,Married,$80K - $120K,Blue,50-69,Alta,1,-3.2325434790058383,1.3499810607720275
0,53,2,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,61.38461538461539,0.5416666666666666,33.25,0.689514483884129,0.310485516115871,M,Uneducated,Married,$60K - $80K,Blue,50-69,Alta,1,-3.291495885897954,1.1709702310648014
